00 14.3 0xCCCCCC 
01 13.9 0xCCCCCC 
02 13.8 0xCCCCCC 
03 13.8 0x999999 13.8
04 13.8 0x999999 13.8
05 13.8 0x999999 13.8
06 13.8 0x999999 13.8
07 14.0 0x999999 14.0
08 14.2 0x999999 14.2
09 14.5 0x999999 14.5
10 14.4 0x999999 14.4
11 14.3 0x999999 14.3
12 14.3 0x999999 14.3
13 14.2 0x999999 14.2
14 13.8 0x999999 13.8
15 13.7 0x999999 13.7
16 14.0 0x999999 14.0
17 14.3 0x999999 14.3
18 14.4 0x999999 14.4
19 15.0 0x999999 15.0
20 14.5 0x999999 14.5
21 14.3 0x999999 14.3
22 14.3 0x999999 14.3
23 14.2 0x999999 14.2
