18 30.1 0xCCCCCC 
19 29.6 0xCCCCCC 
20 28.5 0xCCCCCC 
21 27.4 0x666666 
22 26.6 0x666666 
23 25.6 0x999999 
00 25.4 0x999999 25.4
01 25.1 0x999999 25.1
02 24.8 0x999999 24.8
03 24.6 0x999999 24.6
04 24.6 0x999999 24.6
05 24.7 0x999999 24.7
06 24.7 0x999999 24.7
07 24.7 0x999999 24.7
08 25.6 0x999999 
09 25.3 0x999999 25.3
10 25.1 0x999999 25.1
11 25.1 0x999999 25.1
12 25.2 0x999999 25.2
13 24.7 0x999999 24.7
14 24.6 0x999999 24.6
15 25.2 0x999999 25.2
16 26.7 0x666666 
17 28.8 0x000000 28.8
18 29.1 0x000000 29.1
19 28.4 0x000000 
20 26.7 0x666666 
21 25.3 0x999999 25.3
22 25.2 0x999999 25.2
23 24.8 0x999999 24.8
